date,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_dominance,eth_dominance,alt_dominance,fear_greed,FearGreed_Label,inflation,btc_mcap,eth_mcap,fed_rate
2018-10-25,6484.64990234375,6504.64990234375,6447.02978515625,6476.2900390625,3230550000.0,203.8679962158203,204.1320037841797,201.822998046875,202.718994140625,1102900000.0,0.5252289279528849,0.0977658400778898,0.3770052319692253,25.0,Extreme Fear,2.492032470218053,112363064964.16647,20915202600.82412,2.19
2018-10-26,6468.43994140625,6498.2900390625,6449.60986328125,6474.75,3306050000.0,202.33599853515625,204.77999877929688,201.55099487304688,203.32899475097656,1161310000.0,0.5253412792051262,0.0975857058953403,0.3770730148995335,29.0,Fear,2.492032470218053,112010056845.2184,20806627800.42047,2.19
2018-10-27,6480.83984375,6507.41015625,6453.52978515625,6480.3798828125,3393250000.0,203.3560028076172,206.08200073242188,203.12600708007807,204.2100067138672,1084810000.0,0.5255493125504512,0.0979548472481157,0.376495840201433,33.0,Fear,2.492032470218053,112200801079.02805,20912618603.71542,2.19
2018-10-28,6482.66015625,6502.27978515625,6447.91015625,6486.39013671875,3445190000.0,204.509994506836,205.91900634765625,203.5229949951172,205.36599731445312,1139140000.0,0.5217618535904182,0.0973459175717052,0.3808922288378766,35.0,Fear,2.492032470218053,111998326691.92026,20895701368.92201,2.19
2018-10-29,6492.35009765625,6503.60009765625,6306.990234375,6332.6298828125,4199910000.0,205.1739959716797,205.5970001220703,195.73399353027344,197.2469940185547,1517230000.0,0.5254050902438593,0.0983773859717556,0.3762175237843851,34.0,Fear,2.492032470218053,112422008134.01062,21050011679.152504,2.19
2018-10-30,6337.0400390625,6364.990234375,6310.14013671875,6334.27001953125,3781100000.0,197.2030029296875,198.1219940185547,196.3509979248047,197.5559997558593,1363500000.0,0.5289675694946664,0.0975930611316911,0.3734393693736425,31.0,Fear,2.492032470218053,109167179052.3813,20141044164.60023,2.19
2018-10-31,6336.990234375,6349.16015625,6316.8798828125,6317.60986328125,4191240000.0,197.6490020751953,198.33799743652344,196.531005859375,197.3809967041016,1442380000.0,0.529388825133502,0.0978852944576446,0.3727258804088532,32.0,Fear,2.492032470218053,109890575608.1054,20319037427.37076,2.19
2018-11-01,6318.14013671875,6547.14013671875,6311.830078125,6377.77978515625,3789400000.0,197.53700256347656,203.7539978027344,197.3280029296875,198.8719940185547,1336700000.0,0.528546697038979,0.0977964584756759,0.373656844485345,29.0,Fear,2.147328577667773,110487418903.24472,20443374890.78836,2.2
2018-11-02,6378.919921875,6396.85986328125,6327.3798828125,6388.43994140625,4234870000.0,198.98199462890625,201.2689971923828,198.7550048828125,200.634994506836,1451870000.0,0.5261905873407435,0.097292749983329,0.3765166626759275,36.0,Fear,2.147328577667773,110896563654.92197,20504797883.62648,2.2
2018-11-03,6387.240234375,6400.06982421875,6342.3701171875,6361.259765625,3658640000.0,200.7400054931641,200.7400054931641,199.5249938964844,200.18600463867188,1307150000.0,0.5233675143449172,0.0977382774480953,0.3788942082069874,36.0,Fear,2.147328577667773,111528929052.5205,20827898393.480133,2.2
2018-11-04,6365.47021484375,6388.6298828125,6294.56982421875,6376.1298828125,4390020000.0,200.1580047607422,211.27200317382807,198.98599243164065,207.48599243164065,1749300000.0,0.5248588308915415,0.0975412226455288,0.3775999464629296,41.0,Fear,2.147328577667773,110888814023.684,20607885132.10309,2.2
2018-11-05,6363.6201171875,6480.58984375,6363.6201171875,6419.66015625,4174800000.0,207.1000061035156,210.81900024414065,206.572998046875,209.09100341796875,1613510000.0,0.5231926367994222,0.1011122284021107,0.3756951347984671,42.0,Fear,2.147328577667773,110241536216.1873,21305283379.90364,2.2
2018-11-06,6433.3798828125,6463.5498046875,6408.16015625,6461.009765625,4700040000.0,209.4739990234375,218.4519958496093,207.8939971923828,218.4519958496093,1856940000.0,0.5118511714779129,0.0989982354204764,0.3891505931016106,42.0,Fear,2.147328577667773,111383003826.06792,21542826214.06233,2.2
2018-11-07,6468.5,6552.16015625,6468.31005859375,6530.14013671875,4941260000.0,218.8990020751953,221.6519927978516,216.79600524902344,217.18299865722656,1927830000.0,0.4968522201558738,0.0997899789551638,0.4033578008889623,48.0,Neutral,2.147328577667773,112347500910.42683,22564364808.51298,2.2
