date,precio,vol_30d,cum_ret_60d,dist_sma200,drawdown,fg,cluster_km,estado_hmm,estado_hmm_causal
2024-10-05,2415.6318359375,2.719286552508833,1.794543852310857,-21.85767486672161,-49.80074894813933,49.0,2,1,2
2024-10-06,2439.957763671875,2.4593839990158286,7.768959956465658,-20.933489171268572,-49.29523178478674,50.0,2,1,2
2024-10-07,2421.796630859375,2.439589843930923,-7.8159422985468545,-21.38555538019775,-49.67263832988928,50.0,2,1,2
2024-10-08,2439.8408203125,2.437074610455046,-3.9496177242509334,-20.684751168826498,-49.29766198502206,49.0,2,1,2
2024-10-09,2368.283447265625,2.458452804409204,-7.283485429976035,-22.889599927348804,-50.78469592817161,49.0,2,1,2
2024-10-10,2383.85791015625,2.4495746519930863,-4.450753318051084,-22.246961756287043,-50.46104297700036,39.0,2,1,2
2024-10-11,2436.513427734375,2.44782047733196,-8.946295420475881,-20.379633191803215,-49.36680853827261,32.0,2,1,2
2024-10-12,2476.523193359375,2.4588494629181987,-6.5422104227680045,-18.925024447851957,-48.53536550160804,49.0,2,1,2
2024-10-13,2467.677001953125,2.3851082728792297,-5.391941071251718,-19.07787009671288,-48.71919822671485,50.0,2,1,2
2024-10-14,2628.89990234375,2.652024761320243,4.627369004561997,-13.65891620598032,-45.36882474197513,48.0,2,1,2
2024-10-15,2606.02197265625,2.5331558869064223,2.858363396892736,-14.28279831236463,-45.844251054397425,65.0,2,2,1
2024-10-16,2611.10205078125,2.5173048663341575,2.2295889444247967,-13.988842750090825,-45.73868193853876,73.0,2,2,1
2024-10-17,2604.2734375,2.5029536767200637,2.0135696772995186,-14.066076966182461,-45.880587367727856,71.0,2,2,1
2024-10-18,2641.55224609375,2.5059445580635584,2.528601412587204,-12.711625101405911,-45.105896355765076,73.0,2,2,1
2024-10-19,2648.656982421875,2.411034430024139,5.231843616401586,-12.385862317876873,-44.95825281286798,72.0,2,2,1
